timestamp,prediction,label_name,confidence,pps,unique_ports,rst,icmp,top_port
1781845548.406,4,Port Scan,0.9700,2450,1253,1198,0,2292
1781845549.406,4,Port Scan,0.9200,2297,1192,1101,0,2292
1781845550.406,4,Port Scan,0.9100,2270,1167,1101,0,2292
1781845551.407,4,Port Scan,0.8800,2029,1029,1001,0,2292
1781845552.407,4,Port Scan,0.8300,2231,1121,1110,0,2292
1781845553.41,4,Port Scan,0.8800,2208,1145,1061,0,2292
1781845554.98,4,Port Scan,0.8900,1262,698,562,0,2292
1781845556.453,0,Normal,0.9500,2,2,0,0,5353
1781845558.529,0,Normal,1.0000,10,2,0,0,7151
1781846883.935,0,Normal,1.0000,11,1,0,0,7151
1781846887.008,0,Normal,0.9900,6,0,0,0,0
1781846888.769,1,SYN Flood,0.5400,5,1,0,0,80
1781846889.769,1,SYN Flood,0.8100,3301,926,925,0,80
1781846890.769,1,SYN Flood,0.8200,3352,936,935,0,80
1781846891.769,1,SYN Flood,0.8000,2841,775,774,0,80
1781846892.769,1,SYN Flood,0.9000,1545,614,613,0,80
1781846893.77,1,SYN Flood,0.9700,1712,834,833,0,80
1781846894.77,1,SYN Flood,0.9500,1592,759,758,0,80
1781846895.77,1,SYN Flood,0.6900,1459,448,447,0,80
1781846896.94,1,SYN Flood,0.6600,388,96,94,0,80
1781846901.657,0,Normal,0.8200,2,1,0,0,5353
1781846905.263,0,Normal,0.8700,5,1,0,0,80
1781846906.264,2,UDP Flood,0.9800,4338,1,0,6,80
1781846907.264,2,UDP Flood,0.9600,3476,2,0,0,80
1781846908.264,2,UDP Flood,0.9500,2122,1,0,0,80
1781846909.266,2,UDP Flood,0.9500,2134,1,0,0,80
1781846910.266,2,UDP Flood,1.0000,2090,1,0,1,80
1781846911.266,2,UDP Flood,0.9300,1983,3,0,0,80
1781846912.287,0,Normal,0.9000,108,1,0,0,80
1781846913.952,0,Normal,0.9400,1,1,0,0,1900
1781846915.8,0,Normal,0.9800,3,1,0,0,1900
1781846916.812,0,Normal,1.0000,5,1,0,0,5353
1781846917.823,0,Normal,1.0000,5,1,0,0,5353
1781846918.823,3,ICMP Flood,1.0000,2366,1,0,2365,5353
1781846919.823,3,ICMP Flood,1.0000,1992,0,0,1992,0
1781846920.825,3,ICMP Flood,0.9800,1377,0,0,1377,0
1781846921.826,3,ICMP Flood,0.9800,1408,0,0,1408,0
1781846922.826,3,ICMP Flood,0.9600,1347,0,0,1347,0
1781846923.826,3,ICMP Flood,0.9600,1342,0,0,1342,0
1781846924.826,3,ICMP Flood,0.9600,1210,0,0,1210,0
1781846925.827,3,ICMP Flood,0.9400,1380,1,0,1377,1900
1781846926.827,3,ICMP Flood,0.9800,1383,0,0,1383,0
1781846928.603,3,ICMP Flood,0.9600,1312,0,0,1310,0
1781846929.709,0,Normal,1.0000,6,1,0,0,1900
1781846936.597,0,Normal,1.0000,2,0,0,0,0
1781846937.873,0,Normal,1.0000,7,1,0,0,5353
1781846939.668,0,Normal,0.8200,2,1,0,0,5353
1781846940.668,4,Port Scan,0.8900,1058,355,700,0,1474
1781846941.668,4,Port Scan,0.8100,3352,656,2697,0,1474
1781846942.668,4,Port Scan,0.8400,2902,567,2336,0,1474
1781846943.669,4,Port Scan,0.8700,1326,266,1061,0,1474
1781846945.322,0,Normal,0.8200,49,13,36,0,1474
1781846946.737,0,Normal,0.9900,7,1,0,0,547
1781846950.115,0,Normal,1.0000,5,1,0,0,57621
1782027125.308,0,Normal,1.0000,1,0,0,0,0
1782027134.32,0,Normal,0.9900,7,2,0,0,547
1782027137.145,0,Normal,0.9900,8,1,0,0,57621
1782027138.238,0,Normal,0.9800,1,1,0,0,57621
1782027139.606,0,Normal,0.9900,3,0,0,0,0
1782027141.148,0,Normal,1.0000,8,1,0,0,5353
1782027142.558,0,Normal,1.0000,2,0,0,0,0
1782027143.577,0,Normal,0.9600,3,0,0,0,0
1782027144.601,0,Normal,1.0000,5,0,0,0,0
1782027145.63,0,Normal,1.0000,2,0,0,0,0
1782027146.657,0,Normal,1.0000,1,0,0,0,0
1782027147.676,0,Normal,1.0000,2,0,0,0,0
1782027148.706,0,Normal,1.0000,1,0,0,0,0
1782027150.054,0,Normal,1.0000,1,0,0,0,0
1782027151.087,0,Normal,1.0000,1,0,0,0,0
1782027152.139,0,Normal,1.0000,6,0,0,0,0
1782027153.156,0,Normal,0.9900,7,2,0,0,5353
1782027157.22,0,Normal,0.8600,2,2,0,0,1900
1782027158.22,1,SYN Flood,0.6200,1482,500,499,0,443
1782027159.221,1,SYN Flood,0.9300,1254,608,607,0,443
1782027160.221,1,SYN Flood,0.9800,1343,659,658,0,443
1782027161.222,1,SYN Flood,0.9200,1772,825,824,0,443
1782027162.223,1,SYN Flood,0.8500,2639,1048,1047,0,443
1782027163.223,1,SYN Flood,0.8700,2016,966,965,0,443
1782027164.223,1,SYN Flood,0.9200,1759,877,876,0,443
1782027165.224,1,SYN Flood,0.9300,1733,866,865,0,443
1782027166.224,1,SYN Flood,0.9400,1801,871,870,0,443
1782027167.224,1,SYN Flood,0.9100,1922,935,934,0,443
1782027168.225,1,SYN Flood,0.9300,1924,930,929,0,443
1782027169.225,1,SYN Flood,0.9300,1686,843,842,0,443
1782027170.227,1,SYN Flood,0.9000,1678,840,839,0,443
1782027171.227,1,SYN Flood,0.8600,1968,980,978,0,443
1782027172.228,1,SYN Flood,0.9500,1301,639,638,0,443
1782027173.228,1,SYN Flood,0.6100,1265,481,480,0,443
1782027174.229,1,SYN Flood,0.6100,1396,511,510,0,443
1782027179.755,0,Normal,0.5000,195,61,60,0,443
1782027180.836,0,Normal,1.0000,6,1,0,0,5353
1782027183.189,0,Normal,0.4100,1,1,0,0,443
1782027184.189,5,TCP ACK Flood,0.6600,1512,1194,1193,0,443
1782027185.189,5,TCP ACK Flood,0.6700,1547,1263,1262,0,443
1782027186.19,5,TCP ACK Flood,0.5900,1245,994,993,0,443
1782027187.19,5,TCP ACK Flood,0.7000,1618,1314,1313,0,443
1782027188.288,0,Normal,0.3400,224,186,185,0,443
1782027195.221,0,Normal,0.5800,3,1,1,0,443
1782027196.221,6,TCP RST Flood,0.9900,1670,1,1668,0,443
1782027197.221,6,TCP RST Flood,0.9900,1708,1,1708,0,443
1782027198.221,6,TCP RST Flood,0.9900,1435,1,1435,0,443
1782027199.222,6,TCP RST Flood,0.9900,1774,1,1773,0,443
1782027200.222,6,TCP RST Flood,0.9900,1812,1,1812,0,443
1782027201.222,6,TCP RST Flood,0.9700,1313,1,1311,0,443
1782027202.486,6,TCP RST Flood,0.9800,1365,1,1364,0,443
1782027203.679,0,Normal,0.9200,2,0,0,0,0
1782027205.932,0,Normal,1.0000,1,0,0,0,0
1782027209.827,0,Normal,1.0000,7,0,0,0,0
1782027210.96,0,Normal,0.4900,5,1,1,0,1212
1782027211.96,6,TCP RST Flood,0.8700,1645,1,1645,0,1212
1782027212.961,6,TCP RST Flood,0.8700,1655,1,1655,0,1212
1782027213.961,6,TCP RST Flood,0.8200,1020,2,1019,0,1212
1782027214.961,6,TCP RST Flood,0.8700,1565,1,1561,0,1212
1782027215.962,6,TCP RST Flood,0.8700,1877,1,1876,0,1212
1782027216.962,6,TCP RST Flood,0.8500,1361,1,1358,0,1212
1782027217.962,6,TCP RST Flood,0.8500,1013,1,1013,0,1212
1782027219.559,0,Normal,0.4600,167,2,165,0,1212
1782027220.884,0,Normal,1.0000,8,2,0,0,1900
1782027227.763,0,Normal,1.0000,1,0,0,0,0
1782027230.505,0,Normal,0.9900,6,2,0,0,57621
1782027233.59,0,Normal,0.9900,10,1,0,0,7151
1782027776.444,0,Normal,0.9700,1,1,0,0,57621
1782027777.762,0,Normal,0.9900,4,0,0,0,0
1782027781.716,0,Normal,0.8333,2,0,0,0,0
1782027782.717,5,TCP ACK Flood,0.9400,963,720,719,0,22
1782027783.718,5,TCP ACK Flood,0.9400,899,740,739,0,22
1782027784.718,5,TCP ACK Flood,0.7000,2081,1458,1457,0,22
1782027785.718,5,TCP ACK Flood,0.9700,3163,1213,1212,0,22
1782027786.718,5,TCP ACK Flood,0.9700,2658,1096,1095,0,22
1782027787.718,5,TCP ACK Flood,0.9800,3169,1136,1135,0,22
1782027788.718,5,TCP ACK Flood,0.9600,1740,833,832,0,22
1782027789.719,5,TCP ACK Flood,0.9700,1886,908,907,0,22
1782027790.72,5,TCP ACK Flood,0.9600,1778,841,840,0,22
1782027791.721,5,TCP ACK Flood,0.9800,2087,1008,1007,0,22
1782027792.722,5,TCP ACK Flood,0.9700,1805,900,899,0,22
1782027793.722,5,TCP ACK Flood,0.9700,2330,1164,1163,0,22
1782027794.722,5,TCP ACK Flood,0.9800,1995,962,961,0,22
1782027795.723,5,TCP ACK Flood,0.9500,1886,943,942,0,22
1782027796.723,5,TCP ACK Flood,0.9600,1942,955,954,0,22
1782027797.723,5,TCP ACK Flood,0.9800,2039,986,985,0,22
1782027798.724,5,TCP ACK Flood,0.9500,1912,940,939,0,22
1782027799.724,5,TCP ACK Flood,0.9700,1931,906,905,0,22
1782027800.724,5,TCP ACK Flood,0.9500,1711,768,767,0,22
1782027801.726,5,TCP ACK Flood,0.9400,1739,785,784,0,22
1782027802.732,5,TCP ACK Flood,0.9800,1915,897,896,0,22
1782027803.733,5,TCP ACK Flood,0.9800,2055,956,955,0,22
1782027804.734,5,TCP ACK Flood,0.9800,2000,948,947,0,22
1782027805.735,5,TCP ACK Flood,0.9600,1939,954,953,0,22
1782027806.737,5,TCP ACK Flood,0.9400,1753,793,792,0,22
