timestamp,prediction,confidence,pps,unique_ports,rst,top_port
1781593113.268,0,1.0000,4,0,0,0
1781593116.544,0,1.0000,4,0,0,0
1781593118.275,0,1.0000,3,1,0,57621
1781593120.13,0,1.0000,1,0,0,0
1781593124.527,0,1.0000,19,1,0,5355
1781593130.567,0,1.0000,5,1,0,7151
1781593133.033,0,1.0000,3,1,0,57621
1781593140.597,0,1.0000,1,0,0,0
1781593148.068,0,1.0000,3,0,0,0
1781593150.518,0,1.0000,4,1,0,57621
1781593151.811,0,1.0000,2,1,0,1900
1781593152.96,0,1.0000,14,3,0,7151
1781593153.969,0,1.0000,3,1,0,1900
1781593155.188,0,1.0000,3,1,0,5353
1781593156.906,0,1.0000,4,1,0,5353
1781593158.523,0,1.0000,3,0,0,0
1781593160.397,0,1.0000,2,0,0,0
1781593167.105,0,1.0000,2,0,0,0
1781593176.418,0,1.0000,3,0,0,0
1781683799.55,0,1.0000,1,1,0,443
1781683800.55,0,1.0000,6,2,0,42476
1781683808.528,0,1.0000,8,3,0,443
1781683810.431,0,1.0000,3,1,0,5353
1781683811.522,0,1.0000,2,2,0,5353
1781683813.793,0,1.0000,10,2,2,443
1781683814.916,0,1.0000,3,0,0,0
1781683816.53,0,1.0000,6,2,0,443
1781683819.912,0,1.0000,6,3,0,40594
1781683821.153,0,1.0000,2,0,0,0
1781683822.411,0,1.0000,3,0,0,0
1781683823.411,0,1.0000,2,0,0,0
1781683824.545,0,1.0000,5,0,0,0
1781683828.033,0,1.0000,1,0,0,0
1781683830.074,0,1.0000,3,1,0,443
1781684884.943,0,1.0000,1,0,0,0
1781684888.416,0,1.0000,2,0,0,0
1781684890.66,0,1.0000,2,0,0,0
1781684892.406,0,1.0000,3,1,0,57621
1781684894.451,0,1.0000,1,0,0,0
1781684897.438,0,1.0000,3,1,0,40594
1781684901.112,0,1.0000,3,2,0,443
1781684904.268,0,1.0000,3,0,0,0
1781684905.312,0,1.0000,4,3,0,53
1781684910.538,0,0.9900,23,2,0,43198
1781684914.001,0,1.0000,3,1,0,53
1781684915.34,0,0.9800,41,7,0,443
1781684916.385,1,0.6700,152,4,0,443
1781684917.392,0,0.9700,65,8,0,443
1781684918.394,0,0.7600,173,14,3,443
1781685474.791,0,1.0000,8,2,0,443
1781685476.777,0,1.0000,4,1,0,443
1781685477.778,0,1.0000,6,3,0,443
1781685478.787,0,1.0000,16,5,0,7151
1781685479.809,0,1.0000,7,5,0,443
1781685481.408,0,1.0000,1,1,0,80
1781685482.846,0,1.0000,2,2,0,41160
1781685487.453,0,1.0000,6,3,0,60112
1781685488.728,0,1.0000,2,1,0,80
1781685490.166,0,1.0000,2,2,0,50196
1781685491.167,0,1.0000,2,1,0,52422
1781685492.425,0,1.0000,7,3,0,80
1781685494.419,0,1.0000,8,4,0,80
1781685495.473,0,1.0000,11,3,0,443
1781685496.957,0,1.0000,5,1,0,80
1781685498.412,0,1.0000,4,1,0,80
1781685499.448,0,1.0000,7,4,0,80
1781685500.449,0,1.0000,4,2,0,80
1781685501.489,0,1.0000,2,1,0,80
1781685502.554,0,1.0000,5,1,0,80
1781685504.071,0,1.0000,4,3,0,41160
1781685505.637,0,1.0000,8,2,0,80
1781685507.452,0,1.0000,5,3,0,80
1781685509.208,0,1.0000,3,1,0,80
1781685510.552,0,1.0000,2,2,0,50196
1781685513.433,0,1.0000,3,2,0,52422
1781685514.497,0,1.0000,9,5,0,80
1781685515.499,0,1.0000,3,2,0,443
1781685516.501,0,1.0000,4,3,0,40454
1781685517.513,0,1.0000,10,4,0,443
1781685518.953,0,1.0000,7,4,0,443
1781685520.571,0,1.0000,5,4,0,443
1781685521.579,0,1.0000,10,4,0,443
1781685522.608,0,1.0000,5,3,0,443
1781685523.887,0,1.0000,4,3,0,58482
1781686845.938,0,1.0000,1,1,0,80
1781686846.938,1,0.9700,4957,1648,1702,80
1781686848.018,0,1.0000,1,1,1,58216
1781686849.018,1,0.9400,5139,1676,1694,80
1781686850.018,1,0.9700,4910,1612,1658,80
1781686851.018,1,0.9700,5059,1677,1739,80
1781686852.019,1,0.9700,5082,1700,1743,80
1781686853.019,1,0.9400,5272,1739,1781,80
1781686854.019,1,0.9800,4356,1390,1418,80
1781686855.019,1,1.0000,2907,807,1298,80
1781686856.019,1,0.9800,4515,1485,1535,80
1781686857.019,1,0.9400,5328,1762,1813,80
1781686858.019,0,0.7600,93,29,28,80
1781686859.02,1,0.9400,5336,1696,1737,80
